Detroit River - Flow ,,,,,,,,,,,,
Units: cubic meters per second,,,,,,,,,,,,
"Summary: The Detroit River flow at the water level station in Wayne County, Michigan is provided - Monthly flows are computed as an average of daily calculated flows. ",,,,,,,,,,,,
Reference: https://waterdata.usgs.gov/nwis/inventory?site_no=04165710&agency_cd=USGS,,,,,,,,,,,,
Note: --- means that no data is available for that date.,,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,---,---,---,---,---,---,---,---,---,---,---,---
2001,---,---,---,---,---,---,---,---,---,---,---,---
2002,---,---,---,---,---,---,---,---,---,---,---,---
2003,---,---,---,---,---,---,---,---,---,---,---,---
2004,---,---,---,---,---,---,---,---,---,---,---,---
2005,---,---,---,---,---,---,---,---,---,---,---,---
2006,---,---,---,---,---,---,---,---,---,---,---,---
2007,---,---,---,---,---,---,---,---,---,---,---,---
2008,---,---,---,---,---,---,---,---,---,5292.41812,5303.744858,5142.338847
2009,4833.685249,5292.41812,5555.764768,5490.636027,5459.487499,5561.428137,5470.814236,5459.487499,5445.329077,5612.398456,5615.23014,5456.655814
2010,4828.02188,4125.764152,5230.121063,5244.279485,5244.279485,5190.477482,5292.41812,5184.814113,5269.764645,5351.883492,5145.170532,5009.249681
2011,4332.477113,4020.99183,4808.20009,5099.863582,5300.913173,5337.72507,5272.596329,5179.150744,5309.408226,5320.734964,5309.408226,5400.022127
2012,5170.655691,5281.091382,5051.724947,5167.824007,5006.417997,5017.744734,4966.774415,4876.160515,4842.180302,4901.645675,4785.546615,4706.259452
2013,4219.209737,4222.041422,4740.239664,4952.615993,4944.12094,5148.002216,5037.566525,4938.457572,5071.546738,5097.031897,5281.091382,5221.62601
2014,4241.863212,4207.883,5091.368528,5408.51718,5507.626133,5652.042037,5643.546984,5595.408349,5739.824253,5977.685742,5977.685742,6218.378915
2015,5111.190319,4471.229648,5844.596576,6376.95324,5855.923313,6226.873968,6003.170901,5901.230263,5935.210476,6014.497639,5853.091629,5904.061948
2016,6348.636396,6561.012726,6861.171271,6869.666324,6073.963011,6156.081858,6045.646167,5810.616363,5983.34911,6088.121433,6139.091752,5904.061948
2017,6088.121433,6158.913543,6297.666077,6283.507656,6164.576911,6164.576911,6266.517549,6269.349234,6342.973028,6365.626503,6592.161254,6351.468081
2018,5371.705283,6054.14122,6866.834639,6730.913789,6385.448293,6628.973151,6325.982921,6195.72544,6351.468081,6609.15136,6705.428629,6464.735456
2019,5906.893632,5640.7153,6756.398948,6866.834639,6946.121802,6974.438646,6988.597068,6923.468327,6832.854427,7079.210968,7220.795188,7314.240773
2020,7676.696374,7520.953733,7492.636889,7373.706145,7399.191304,7249.112032,7212.300135,7198.141713,7257.607085,7234.95361,7181.151606,7048.06244
2021,7016.913912,5592.576665,7025.408965,6634.63652,6467.567141,6425.091875,6532.695882,6371.289872,6657.289995,6685.606839,6447.74535,6334.477975
2022,5708.675725,4904.477359,6303.329446,6209.883861,6294.834393,6362.794818,6107.943224,6090.953117,6110.774908,6198.557124,6025.824376,---