St. Lawrence River - Flow at Cornwall,,,,,,,,,,,,
Units: cubic meters per second,,,,,,,,,,,,
"Summary:  The St. Lawrence River flow at the water level station at Cornwall, Ontario is provided -  Daily data is available and data presented is from the first day of each month.  ",,,,,,,,,,,,
Reference: waterdata.usgs.gov/nwis/dv?cb_00010=on&cb_00060=on&cb_00095=on&format=rdb&site_no=04264331&legacy=&referred_module=sw&period=&begin_date=2011-12-01&end_date=2023-12-05,,,,,,,,,,,,
Note: --- means that no data is available for that date.,,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,---,---,---,---,---,---,---,---,---,---,---,---
2001,---,---,---,---,---,---,---,---,---,---,---,---
2002,---,---,---,---,---,---,---,---,---,---,---,---
2003,---,---,---,---,---,---,---,---,---,---,---,---
2004,---,---,---,---,---,---,---,---,---,---,---,---
2005,---,---,---,---,---,---,---,---,---,---,---,---
2006,---,---,---,---,---,---,---,---,---,---,---,---
2007,---,---,---,---,---,---,---,---,---,---,---,---
2008,---,---,---,---,---,---,---,---,---,---,---,---
2009,---,---,---,---,---,---,---,---,---,---,---,---
2010,---,---,---,---,---,---,---,---,---,---,---,---
2011,---,---,---,---,---,---,---,---,---,---,---,7560.597314
2012,6541.190935,6796.04253,8240.201567,7843.765753,7560.597314,6852.676217,6711.091998,6569.507779,6512.874091,6456.240403,5861.586682,6144.755121
2013,5946.537213,5946.537213,6427.923559,6342.973028,6654.45831,6059.804589,7249.112032,7560.597314,7475.646783,7022.577281,6937.626749,7305.745719
2014,6201.388808,6796.04253,6994.260437,6597.824623,7135.844656,8211.884723,8381.785787,8240.201567,8155.251036,7673.86469,7390.696251,6909.309905
2015,6399.606715,6739.408842,6597.824623,6342.973028,6597.824623,6484.557247,7560.597314,8523.370006,8636.637381,8098.617348,7872.082597,7815.448909
2016,6229.705652,6512.874091,7957.033128,7362.379407,8410.10263,7957.033128,7503.963626,7419.013095,7390.696251,7050.894125,6937.626749,6909.309905
2017,6229.705652,6711.091998,7447.329939,7787.132065,8580.003694,10222.38064,10392.2817,10392.2817,9599.410073,8636.637381,8353.468943,8523.370006
2018,6229.705652,8211.884723,8976.439508,8523.370006,7730.498377,9344.558478,9118.023727,8636.637381,8410.10263,7843.765753,7815.448909,8211.884723
2019,8381.785787,7475.646783,8721.587913,8636.637381,6088.121433,8919.80582,10392.2817,10420.59855,9995.845887,9089.706883,8863.172132,8863.172132
2020,10194.06379,10307.33117,8778.221601,8495.053162,9004.756352,9542.776385,9231.291103,8806.538445,8438.419474,8410.10263,8240.201567,8070.300504
2021,8948.122664,6965.943593,8126.934192,7362.379407,7900.399441,7843.765753,7560.597314,8098.617348,8013.666816,7900.399441,8211.884723,8523.370006
2022,8523.370006,7305.745719,8523.370006,8693.271069,8551.68685,8693.271069,8749.904757,8523.370006,7957.033128,7390.696251,6654.45831,6739.408842