St. Mary's River - Flow ,,,,,,,,,,,,
Units: cubic meters per second,,,,,,,,,,,,
"Summary: The St. Mary's River flow at the water level station at Sault Ste. Marie, Ontario is provided - Monthly flows are computed as an average of daily calculated flows.",,,,,,,,,,,,
Reference: https://waterdata.usgs.gov/nwis/inventory?site_no=04127885&agency_cd=USGS,,,,,,,,,,,,
Note: --- means that no data is available for that date.,,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,---,---,---,---,---,---,---,---,---,---,---,---
2001,---,---,---,---,---,---,---,---,---,---,---,---
2002,---,---,---,---,---,---,---,---,---,---,---,---
2003,---,---,---,---,---,---,---,---,---,---,---,---
2004,---,---,---,---,---,---,---,---,---,---,---,---
2005,---,---,---,---,---,---,---,---,---,---,---,---
2006,---,---,---,---,---,---,---,---,---,---,---,---
2007,---,---,---,---,---,---,---,---,---,---,---,---
2008,---,---,---,---,---,---,---,---,---,---,---,1830.967125
2009,1567.337308,1584.893752,1657.951209,1668.428441,1916.483993,2147.266271,2020.40681,1870.327538,2163.123704,1775.466111,1731.858171,1775.466111
2010,1999.452346,1750.547288,1546.949181,1653.986851,1503.341241,1544.967002,1554.028392,1532.50759,1515.234316,1485.784798,1486.067966,1499.94322
2011,1523.163032,1430.283784,1261.515395,1337.121368,1466.246176,1563.656119,1705.806675,1713.452223,1565.355129,1496.828367,1533.357096,1521.74719
2012,1473.325387,1467.095681,1324.661956,1469.644197,1476.44024,1577.531372,2042.777117,2107.62269,1768.953237,1422.071899,1540.153138,1517.216495
2013,1495.695693,1455.202607,1505.889757,1502.208567,1572.43434,2170.486083,2332.741598,2663.199166,2659.234808,2650.173418,2222.305907,2158.876177
2014,2034.282064,1960.091933,1967.454312,2071.093961,2297.91188,2612.512016,3055.387454,3069.545876,2780.147732,2908.139866,2860.001231,2468.37928
2015,2263.365331,2192.85639,2193.139558,1985.860261,2395.038655,2629.218954,2947.783447,2970.436922,2671.127883,2687.551652,2236.747498,2360.208937
2016,2491.315924,2459.884227,2455.919869,2165.955388,2414.577277,2486.785229,2953.446816,3035.565663,2525.012968,2728.327907,2586.743688,2465.830765
2017,2256.002951,2431.001047,2436.664415,2267.329689,1998.036504,2399.56935,3157.328092,3191.308305,2681.605115,2961.941869,2930.793341,2248.92374
2018,2066.563266,2097.711794,2507.456525,2339.820809,2368.137653,2564.939718,2570.319918,2715.302159,2593.822899,2652.155597,2745.601182,2205.882138
2019,2362.757453,2534.923864,2500.943651,2410.046582,2353.129726,2733.424939,2973.268607,3012.912188,2902.476497,2704.25859,2822.05666,2614.777363
2020,2504.341672,2411.179256,2374.367359,2344.634673,2392.20697,2423.921836,2429.868373,2353.129726,2492.731766,2425.620846,2381.163401,2193.139558
2021,2193.139558,2043.909791,2018.424631,1947.632522,2367.004979,2212.395012,2348.882199,2294.513859,2099.693973,1911.103793,1814.260187,1715.151233
2022,1694.763106,1406.780804,1408.479814,1662.198735,1913.652309,2518.500094,2632.900143,2576.549624,2569.753582,2510.854546,2498.678303,---